date,regime,exposure,strategy_equity,benchmark_equity,drawdown
2025-11-26,high,0.25,1.082674802797384,1.1278166163541272,-0.015086008385564065
2025-11-28,high,0.25,1.0841212709578567,1.1338558185046397,-0.013770149989309366
2025-12-01,high,0.25,1.0826755981833889,1.1278199305553585,-0.015085284819445377
2025-12-02,mid,0.75,1.0846702774402965,1.1305912494579051,-0.013270716397020266
2025-12-03,mid,0.75,1.0870934439489013,1.1339601754263289,-0.01106635125231581
2025-12-04,mid,0.75,1.0879741331498307,1.1351852173691621,-0.010265184443946418
2025-12-05,mid,0.75,1.089554013011126,1.1373836644637998,-0.008827960841402804
2025-12-08,mid,0.75,1.0867112827764929,1.1334286907167195,-0.011414004938154143
2025-12-09,mid,0.75,1.0859969426481626,1.132435400357529,-0.012063843269429886
2025-12-10,low,1.0,1.093326940848365,1.1400788375722095,-0.005395711927281055
2025-12-11,mid,0.75,1.0950315557761097,1.1424494614625078,-0.003845016290592529
2025-12-12,low,1.0,1.0833545233038762,1.1302667810739702,-0.014467663675313491
2025-12-15,mid,0.75,1.0820570314095472,1.1284622389207661,-0.01564799771230141
2025-12-16,mid,0.75,1.0801218029431954,1.1257720775312914,-0.017408483491185067
2025-12-17,mid,0.75,1.070717433963757,1.1127219655961658,-0.025963678981300253
2025-12-18,mid,0.75,1.0770826503067361,1.121550593504731,-0.0201732139038322
2025-12-19,mid,0.75,1.0841981613977931,1.1314404933148108,-0.013700202420640517
2025-12-22,mid,0.75,1.089427789850635,1.1387230059320155,-0.008942786601189745
2025-12-23,mid,0.75,1.0931436690445346,1.1439046383054563,-0.005562435086806539
2025-12-24,mid,0.75,1.0957837640693524,1.147589706737649,-0.003160729124484174
2025-12-26,mid,0.75,1.0955336170749268,1.1472404222615697,-0.0033882889366581015
2025-12-29,mid,0.75,1.0926631179631945,1.143234199646673,-0.005999594502057004
2025-12-30,low,1.0,1.0911599772037173,1.141661489911288,-0.007367008208878256
2025-12-31,low,1.0,1.0831315862106137,1.1332615256399938,-0.014670470521687684
2026-01-02,low,1.0,1.0851838029043837,1.1354087238668154,-0.012803560041923734
2026-01-05,low,1.0,1.092079198459693,1.1426232549416957,-0.006530788621925021
2026-01-06,low,1.0,1.0988464994745408,1.1497037629521605,-0.0003745453642368668
2026-01-07,low,1.0,1.0950665516539109,1.1457488700392566,-0.0038131803878762582
2026-01-08,low,1.0,1.0951503770920292,1.145836575120614,-0.003736924021105148
2026-01-09,low,1.0,1.1022420091568506,1.1532564250034651,0.0
2026-01-12,low,1.0,1.1039809427616156,1.1550758406451207,0.0
2026-01-13,low,1.0,1.10184018786316,1.1528360064521832,-0.0019391230550597216
2026-01-14,low,1.0,1.0959636769879488,1.1466875164952235,-0.007262141458358462
2026-01-15,low,1.0,1.0987911824112293,1.149645885681882,-0.004700951030372047
2026-01-16,low,1.0,1.0980854263031996,1.1489074654807747,-0.005340233902650815
2026-01-20,low,1.0,1.0754354838897193,1.1252092291612519,-0.025856840246254342
2026-01-21,mid,0.75,1.0781032753037079,1.1289324513246894,-0.023440320802254666
